name;slug;value;date_of_information;ranking;region
"Lithuania";"lithuania";"15.17";"2023";1;"Europe"
"Serbia";"serbia";"15.12";"2023";2;"Europe"
"Romania";"romania";"14.92";"2023";3;"Europe"
"Latvia";"latvia";"14.69";"2023";4;"Europe"
"Bulgaria";"bulgaria";"14.31";"2023";5;"Europe"
"Ukraine";"ukraine";"13.7";"2023";6;"Europe"
"Russia";"russia";"13.27";"2023";7;"Central Asia"
"Estonia";"estonia";"13.13";"2023";8;"Europe"
"Croatia";"croatia";"12.98";"2023";9;"Europe"
"Hungary";"hungary";"12.89";"2023";10;"Europe"
"Belarus";"belarus";"12.81";"2023";11;"Europe"
"Moldova";"moldova";"12.51";"2023";12;"Europe"
"Afghanistan";"afghanistan";"12.08";"2023";13;"South Asia"
"Greece";"greece";"12.02";"2023";14;"Europe"
"Germany";"germany";"11.97";"2023";15;"Europe"
"Japan";"japan";"11.74";"2023";16;"East and Southeast Asia"
"Central African Republic";"central-african-republic";"11.51";"2023";17;"Africa"
"Somalia";"somalia";"11.43";"2023";18;"Africa"
"Saint Pierre and Miquelon";"saint-pierre-and-miquelon";"11.36";"2023";19;"North America"
"Italy";"italy";"11.27";"2023";20;"Europe"
"Peru";"peru";"11.04";"2023";21;"South America"
"Monaco";"monaco";"10.92";"2023";22;"Europe"
"Lesotho";"lesotho";"10.9";"2023";23;"Africa"
"Portugal";"portugal";"10.9";"2023";24;"Europe"
"Czechia";"czechia";"10.77";"2023";25;"Europe"
"Georgia";"georgia";"10.76";"2023";26;"Middle East"
"Poland";"poland";"10.75";"2023";27;"Europe"
"Slovenia";"slovenia";"10.46";"2023";28;"Europe"
"Finland";"finland";"10.37";"2023";29;"Europe"
"Montenegro";"montenegro";"10.3";"2023";30;"Europe"
"Bosnia and Herzegovina";"bosnia-and-herzegovina";"10.26";"2023";31;"Europe"
"Slovakia";"slovakia";"10.18";"2023";32;"Europe"
"Isle of Man";"isle-of-man";"10.17";"2023";33;"Europe"
"Spain";"spain";"10.11";"2023";34;"Europe"
"Puerto Rico";"puerto-rico";"10";"2023";35;"Central America and the Caribbean"
"Mozambique";"mozambique";"9.93";"2023";36;"Africa"
"Austria";"austria";"9.86";"2023";37;"Europe"
"Niger";"niger";"9.66";"2023";38;"Africa"
"Korea, North";"korea-north";"9.66";"2023";39;"East and Southeast Asia"
"India";"india";"9.65";"2023";40;"South Asia"
"North Macedonia";"north-macedonia";"9.61";"2023";41;"Europe"
"Belgium";"belgium";"9.57";"2023";42;"Europe"
"Denmark";"denmark";"9.55";"2023";43;"Europe"
"Armenia";"armenia";"9.54";"2023";44;"Middle East"
"Eswatini";"eswatini";"9.53";"2023";45;"Africa"
"France";"france";"9.51";"2023";46;"Europe"
"Sweden";"sweden";"9.5";"2023";47;"Europe"
"Cuba";"cuba";"9.37";"2023";48;"Central America and the Caribbean"
"Netherlands";"netherlands";"9.27";"2023";49;"Europe"
"South Africa";"south-africa";"9.25";"2023";50;"Africa"
"South Sudan";"south-sudan";"9.22";"2023";51;"Africa"
"Chad";"chad";"9.21";"2023";52;"Africa"
"Bermuda";"bermuda";"9.2";"2023";53;"North America"
"Cook Islands";"cook-islands";"9.2";"2023";54;"Australia and Oceania"
"Guernsey";"guernsey";"9.17";"2023";55;"Europe"
"Saint Barthelemy";"saint-barthelemy";"9.16";"2023";56;"Central America and the Caribbean"
"Sierra Leone";"sierra-leone";"9.14";"2023";57;"Africa"
"Uruguay";"uruguay";"9.12";"2023";58;"South America"
"United Kingdom";"united-kingdom";"9.12";"2023";59;"Europe"
"Greenland";"greenland";"9.07";"2023";60;"North America"
"Virgin Islands";"virgin-islands";"8.99";"2023";61;"Central America and the Caribbean"
"Botswana";"botswana";"8.98";"2023";62;"Africa"
"Mauritius";"mauritius";"8.95";"2023";63;"Africa"
"Equatorial Guinea";"equatorial-guinea";"8.9";"2023";64;"Africa"
"Cocos (Keeling) Islands";"cocos-keeling-islands";"8.89";"2021";65;"Australia and Oceania"
"San Marino";"san-marino";"8.83";"2023";66;"Europe"
"Curacao";"curacao";"8.78";"2023";67;"Central America and the Caribbean"
"Gibraltar";"gibraltar";"8.74";"2023";68;"Europe"
"Aruba";"aruba";"8.69";"2023";69;"Central America and the Caribbean"
"Faroe Islands";"faroe-islands";"8.61";"2023";70;"Europe"
"Malta";"malta";"8.61";"2023";71;"Europe"
"Nigeria";"nigeria";"8.52";"2023";72;"Africa"
"Zimbabwe";"zimbabwe";"8.51";"2023";73;"Africa"
"Trinidad and Tobago";"trinidad-and-tobago";"8.48";"2023";74;"Central America and the Caribbean"
"United States";"united-states";"8.42";"2023";75;"North America"
